id,user,standard_answer
qa_001,Why am I unable to trade currency pairs?,"Depending on your account type, the related instruments will be displayed with a unique suffix. To understand which instruments are right for your account type, please see below: Premium Account: instruments displayed without a suffix like EURUSD or GBPUSD Zero Account: instruments displayed with 'b' suffix like EURUSDb or GBPUSDb Pro Account : instruments displayed with a 'r' at the end like EURUSDr or GBPUSDr Cent Account: instruments displayed with a 'c' at the end like EURUSDc or GBPUSDc If the related instruments are not visible on your terminal, just follow the steps below: Right-click on the 'Market Watch' window Select 'Symbols' and choose the instruments you want to trade Click on 'Show', then, close the 'Market Watch' window Right-click on the 'Market Watch' window again and select 'Show All' Any greyed-out symbols you might see on the terminal are used to calculate oil prices. If these are confusing for you, you can right-click on them and select 'Hide'."
qa_002,what is a zero spread account?,"The Zero account is an accessible, swap free, low-cost trading solution. As the name suggests, the primary feature is spreads that start from 0.0 pips on major Forex pairs. For further details, please refer to the information available through our website by navigating to Trading > Accounts > Zero"
qa_003,When will my account be approved? How long until my account is verified?,Documents can be submitted via your myHF area or sent via email to our back office department (backoffice@hfm.com) and will be verified within 24-48 hours of submission.
qa_004,I have not received my funds after I made a deposit.,"In case the deposit transaction was successful and you have not received the funds in your myHF account, please send a screenshot of the deposit receipt or any confirmation of the successful transaction to deposit@hfm.com, and our Deposit Department will assist you further regarding this matter."
qa_005,How can I archive a trading account?,Steps to archive a trading account: Desktop: Log in to your myHF area from your PC/Laptop In the home tab section under 'My Trading accounts' Select the cog wheel symbol underneath the 'ACTIONS' tab next to your Live Accounts or Demo Accounts Choose 'Archive Account' and click on 'Confirm'. HFM App: Log in to your myHF area from the HFM App Tap on Menu at the bottom left and select My Wallet Select either the 'Live Accounts' or the 'Demo Accounts' tab Tap on the trading account you wish to archive Click on the 3 dotted vertical symbols next to the 'trade' button Tap on 'Archive Account' and confirm Keep in mind that a trading account cannot be reactivated once it is archived.
qa_006,I cannot create an additional trading account as I have reached the limit,"If you have reached the maximum limits of 7 Live MT4/ 5 Live MT5 trading accounts, kindly archive one (or more) of your existing accounts to be able to open a new one."
qa_007,How can I cancel my withdrawal?,"You can connect to a Live agent for immediate assistance to cancel your withdrawal request. If the withdrawal has already been processed by the payment processors, then we may not be able to cancel it for you."
qa_008,How can I withdraw funds if the card that I have used for deposit has been cancelled?,"Please note that you will be required to provide an official confirmation letter from your bank stating that the card has been cancelled prior to submitting a withdrawal request. In case you have submitted a withdrawal request to a cancelled card, please inform our Team by connecting to a Live Agent."
qa_009,To which credit/debit card will the funds be sent?,Funds are withdrawn to the same card used for deposits during the last 6 months.
qa_010,Does HFM charge any withdrawal fees?,HFM does not charge any fees on withdrawal requests. Some banks and payment processors may charge a withdrawal transfer fee.
qa_011,What does Processing Time mean?,Processing time is the time needed for the withdrawal request to be reviewed and processed by HFM to the processor of your selected withdrawable method. Please note that this is not the time required for your funds to be reflected on your account balance.
qa_012,How long does it take for my withdrawal funds to reach my bank account/e-wallet?,The time needed for the funds to reach your bank account/e-wallet depends on your payment method. You can see the respective processing time for each withdrawal method which can be found on our website by navigating to Trading > Pricing > Withdrawal Options
qa_013,HFM Mission Values HFM Markets Group & Trading Markets,"HFM's Mission: Our mission is to provide the best customer service to our clients by maintaining a superb client-centric culture. HFM aims to lead the way through the use of cutting-edge technology, innovative system solutions and unrivalled customer service."
qa_014,Can I open a corporate account?,"Yes, you can open a corporate account. Corporate accounts allow for multiple users and company-allocated funds."
qa_015,Can I open a joint account?,"Yes, you can. A joint account is owned by two account holders and can be used by either one of them."
qa_016,Is HFM regulated?,HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company with the registration number 22747 IBC 2015. For more information you may visit our Regulatory Environment through our website Company > Regulations and Licenses
qa_017,What leverage is applied to my account?,"The setting depends on your account type and trading instrument, but the maximum leverage offered by HFM is 1:2000. Please check our Terms & Conditions found on our website. Navigate to: Company > Legal Documentation > Risks Associated with Transactions in Derivative Financial Instruments (CFD'S) > Margin Requirements Section."
