id,user,standard_answer
qa_001,Why can't I login and register,Please provide a screenshot of any error you are receiving and ask to speak to one of our Live Agents for further assistance.
qa_002,Login and registration issue,Please provide a screenshot of any error you are receiving and ask to speak to one of our Live Agents for further assistance.
qa_003,I can't log in please help,Please provide a screenshot of any error you are receiving and ask to speak to one of our Live Agents for further assistance.
qa_004,Login problem need help,Please provide a screenshot of any error you are receiving and ask to speak to one of our Live Agents for further assistance.
qa_005,Why does it say my phone number is invalid,Please provide a screenshot of the error you receive  and ask to speak to one of our Live Agents.
qa_006,Phone number invalid error,Please provide a screenshot of the error you receive  and ask to speak to one of our Live Agents.
qa_007,Registration not working,Please provide a screenshot of the error you are facing and reach out to one of our Live Agents for assistance.
qa_008,How to add funds to demo account?,You can top up or remove funds to/from your demo account anytime you wish directly from your myHF area by following the steps below:
qa_009,Can I adjust demo account balance?,You can top up or remove funds to/from your demo account anytime you wish directly from your myHF area by following the steps below:
qa_010,Tell me about HFM's values,"Our mission is to provide the best customer service to our clients by maintaining a superb client-centric culture. HFM aims to lead the way through the use of cutting-edge technology, innovative system solutions and unrivalled customer service."
qa_011,HFM mission and values,"Our mission is to provide the best customer service to our clients by maintaining a superb client-centric culture. HFM aims to lead the way through the use of cutting-edge technology, innovative system solutions and unrivalled customer service."
qa_012,Tell me about HFM mission,"Our mission is to provide the best customer service to our clients by maintaining a superb client-centric culture. HFM aims to lead the way through the use of cutting-edge technology, innovative system solutions and unrivalled customer service."
qa_013,Where can I view my finances?,"To see all your finances, please follow the steps below: Log in to your myHF area On the left-hand side, select My Wallet> Wallet Actions >Wallet Finances Select the tab you wish to view: Deposit/ Withdrawals"
qa_014,How do I check my transaction history?,"To see all your finances, please follow the steps below: Log in to your myHF area On the left-hand side, select My Wallet> Wallet Actions >Wallet Finances Select the tab you wish to view: Deposit/ Withdrawals"
qa_015,Are you licensed,"HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company. If you need details about regulatory status or licenses, please visit the official HFM website Company > Regulations and Licenses"
qa_016,HFM license status,"HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company. If you need details about regulatory status or licenses, please visit the official HFM website Company > Regulations and Licenses"
qa_017,Where are you licensed,"HF Markets (SV) Ltd is incorporated in St. Vincent & the Grenadines as an International Business Company. If you need details about regulatory status or licenses, please visit the official HFM website Company > Regulations and Licenses"
