user,standard_answer,status,most_similar_existing
Why did HotForex change its name to HFM?,"The name was changed to HFM because the new name better reflects the wide variety of products and services the company offers, which go beyond just Foreign Exchange (Forex) to include stocks, indices, cryptocurrencies, and more.",,
What was the reason for HotForex rebranding to HFM?,"The name was changed to HFM because the new name better reflects the wide variety of products and services the company offers, which go beyond just Foreign Exchange (Forex) to include stocks, indices, cryptocurrencies, and more.",,
Why was HotForex renamed to HFM?,"The name was changed to HFM because the new name better reflects the wide variety of products and services the company offers, which go beyond just Foreign Exchange (Forex) to include stocks, indices, cryptocurrencies, and more.",,
How long has HFM been in business?,"The HF Markets Group, of which HFM is a brand, was founded in 2010.",,
When was HFM established?,"The HF Markets Group, of which HFM is a brand, was founded in 2010.",,
What year did HFM start operating?,"The HF Markets Group, of which HFM is a brand, was founded in 2010.",,
How many clients does HFM have?,"As of 2024, the HF Markets Group has over 4 million client accounts.",,
What is HFM's client base size?,"As of 2024, the HF Markets Group has over 4 million client accounts.",,
How many accounts does HFM manage?,"As of 2024, the HF Markets Group has over 4 million client accounts.",,
What account types does HFM offer?,"HFM offers several trading accounts: Premium, Cent, Zero, Pro, and Pro Plus. HFM also provides Swap-Free accounts (often referred to as Islamic accounts) for clients who observe Sharia law.",,
Which accounts are available at HFM?,"HFM offers several trading accounts: Premium, Cent, Zero, Pro, and Pro Plus. HFM also provides Swap-Free accounts (often referred to as Islamic accounts) for clients who observe Sharia law.",,
What kinds of trading accounts does HFM provide?,"HFM offers several trading accounts: Premium, Cent, Zero, Pro, and Pro Plus. HFM also provides Swap-Free accounts (often referred to as Islamic accounts) for clients who observe Sharia law.",,
What are the features of the Zero account?,"The Zero account offers raw, super-tight spreads from 0 pips on Forex and Gold with no hidden markups. It has a $0 minimum deposit and leverage up to 1:2000. It is also swap-free, subject to terms and conditions.",,
Tell me about the Zero account features,"The Zero account offers raw, super-tight spreads from 0 pips on Forex and Gold with no hidden markups. It has a $0 minimum deposit and leverage up to 1:2000. It is also swap-free, subject to terms and conditions.",,
What does the Zero account include?,"The Zero account offers raw, super-tight spreads from 0 pips on Forex and Gold with no hidden markups. It has a $0 minimum deposit and leverage up to 1:2000. It is also swap-free, subject to terms and conditions.",,
Is there a commission on the Zero account?,"Yes, the Zero account has commissions. Commissions start from a low $3 per 1 lot. For all currency pairs, the round turn commission is $6 per 100,000 units (1 standard lot). For Gold, the round turn commission is $10 per 100 ounces. Note that HFM has announced updates reducing commissions from previous levels.",,
Does the Zero account charge commission?,"Yes, the Zero account has commissions. Commissions start from a low $3 per 1 lot. For all currency pairs, the round turn commission is $6 per 100,000 units (1 standard lot). For Gold, the round turn commission is $10 per 100 ounces. Note that HFM has announced updates reducing commissions from previous levels.",,
Are there commission fees on Zero accounts?,"Yes, the Zero account has commissions. Commissions start from a low $3 per 1 lot. For all currency pairs, the round turn commission is $6 per 100,000 units (1 standard lot). For Gold, the round turn commission is $10 per 100 ounces. Note that HFM has announced updates reducing commissions from previous levels.",,
Is there a commission-free account?,"Yes, the Cent, Pro, and Premium accounts are commission-free. Note that for the Pro account, this excludes certain products.",,
Which accounts don't charge commission?,"Yes, the Cent, Pro, and Premium accounts are commission-free. Note that for the Pro account, this excludes certain products.",,
Do you have accounts without commission?,"Yes, the Cent, Pro, and Premium accounts are commission-free. Note that for the Pro account, this excludes certain products.",,
What are the withdrawal fees?,"HFM does not charge withdrawal fees on most transactions, including bank transfers and credit/debit cards. However, for bank wire transfers, HFM notes that the sending, correspondent, and receiving banks may charge their own fees according to their fee structure.",,
Are there any fees for withdrawing money?,"HFM does not charge withdrawal fees on most transactions, including bank transfers and credit/debit cards. However, for bank wire transfers, HFM notes that the sending, correspondent, and receiving banks may charge their own fees according to their fee structure.",,
Why can't I withdraw my profits to my credit card?,"For security and anti-money laundering purposes, HFM can only process withdrawals to credit/debit cards up to the amount that was initially deposited from that card. Any profits or amounts exceeding your total deposits must be withdrawn by another method, such as a bank wire transfer.",,
